code|level|name|nuts0|nuts1|nuts2|pop3|pop2|pop1|pop0|density|fertility|popchange|womenratio|gdppps|gva
CZ0|1|Česko|CZ|CZ0||0.0|0.0|0.5210643015521061|0.12787798532034536|0.0064741201319505415|0.24155844155844156|0.1245818738124002|0.5210643015521061|0.09874326750448834|0.0593506600059265
EL|0|Elláda|EL|||0.0|0.0|0.583148558758315|0.12877938622815738|0.003854094975911906|0.14805194805194807|0.0818502880593481|0.583148558758315|0.08617594254937164|0.05258787672965115
IE|0|Éire/Ireland|IE|||0.0|0.0|0.4944567627494456|0.05863838318811808|0.003303509979353063|0.2545454545454545|0.1504609253109766|0.4944567627494456|0.36983842010771995|0.09525509696455298
ES|0|España|ES|||0.0|0.0|0.5410199556541018|0.5651748623643038|0.00435721574862947|0.12467532467532469|0.3058467852091086|0.5410199556541018|0.1382405745062837|0.35859030065320047
FI|0|Suomi/Finland|FI|||0.0|0.0|0.5099778270509978|0.06603381371132262|0.000797398960533498|0.1636363636363636|0.09805552351523465|0.5099778270509978|0.236983842010772|0.06646350533540617
IS|0|Ísland|IS|||0.0|0.0|0.34811529933481133|0.0038395974202959033|0.00010442129245081519|0.24155844155844156|0.10090272760938059|0.34811529933481133|0.14391992583987517|0.010071491969965738
PT2|1|Região Autónoma dos Açores|PT|PT2||0.0|0.0|0.5764966740576496|0.12338076617329773|0.004950518546645465|0.13246753246753248|0.09365040097618425|0.5764966740576496|0.08797127468581688|0.0011548843300436269
PT|0|Portugal|PT|||0.0|0.0|0.7139689578713966|0.12338076617329773|0.0053017538030709355|0.1636363636363636|0.08348636802389464|0.7139689578713966|0.10233393177737882|0.057712805348365995
RO|0|România|RO|||0.0|0.0|0.5498891352549891|0.233500663135048|0.0038825735102166743|0.2545454545454545|0.004100823807240028|0.5498891352549891|0.04488330341113106|0.057830501824750004
RS|0|Serbia|RS|||0.0|0.0|0.5698447893569842|0.08345765621664328|0.004257540878562783|0.1844155844155844|0.06582793538242988|0.5698447893569842|0.01974865350089767|0.011036661689590232
SE|0|Sverige|SE|||0.0|0.0|0.42793791574279383|0.12282121528422799|0.0011249021050383275|0.2545454545454545|0.17785160542243644|0.42793791574279383|0.2782764811490126|0.14487408842057953
SI|0|Slovenija|SI|||0.0|0.0|0.4589800443458978|0.024614478752834918|0.004822365142274011|0.21558441558441563|0.10506653594215742|0.4589800443458978|0.11310592459605028|0.012669939526820323
SK|0|Slovensko|SK|||0.0|0.0|0.5587583148558759|0.06522039697479544|0.005244796734461399|0.20000000000000004|0.09996175397485474|0.5587583148558759|0.08078994614003591|0.02574942274427911
TR|0|Türkiye|TR|||0.0|0.0|0.4368070953436807|0.9877642711115163|0.004978997080950233|0.3168831168831169|0.9999999999999999|0.4368070953436807|0.04308797127468582|0.22967406592877676
AL0|1|Shqipëria|AL|AL0||0.0|0.0|0.4567627494456763|0.03403254498463411|0.004665733203597788|0.15324675324675327|0.0884287561542711|0.4567627494456763|0.010771992818671455|0.0033816504464301723
AT1|1|Ostösterreich|AT|AT1||0.0|0.0|0.5454545454545456|0.10629438713167927|0.007874314735268291|0.1662337662337662|0.10682630840866181|0.5454545454545456|0.2405745062836625|0.04851855562320252
AT2|1|Südösterreich|AT|AT2||0.0|0.0|0.52549889135255|0.10629438713167927|0.0032797778674324234|0.1688311688311688|0.09660612057818276|0.52549889135255|0.2154398563734291|0.02039528873421022
AT3|1|Westösterreich|AT|AT3||0.0|0.0|0.5033259423503325|0.10629438713167927|0.004399933550086622|0.21038961038961043|0.1075358328830825|0.5033259423503325|0.26032315978456017|0.043048506146446654
PL5|1|Makroregion południowo-zachodni|PL|PL5||0.0|0.0|0.6141906873614189|0.4571469303725373|0.006160856254598096|0.1558441558441558|0.09210234757744819|0.6141906873614189|0.06283662477558348|0.014472811713824052
PL6|1|Makroregion północny|PL|PL6||0.0|0.0|0.5742793791574281|0.4571469303725373|0.00463725466929302|0.1844155844155844|0.09583437042793051|0.5742793791574281|0.04847396768402154|0.017891543258898558
PL7|1|Makroregion centralny|PL|PL7||0.0|0.0|0.6341463414634145|0.4571469303725373|0.005823860265325011|0.15324675324675327|0.08299766881370542|0.6341463414634145|0.05026929982046678|0.011591645424493632
PL8|1|Makroregion wschodni|PL|PL8||0.0|0.0|0.5654101995565408|0.4571469303725373|0.003986994802667489|0.1636363636363636|0.0863229482221669|0.5654101995565408|0.03770197486535009|0.01382701691660561
UK|0|United Kingdom|UK|||0.0|0.0|0.5099778270509978|0.8027002138505838|0.012934000996748702|0.23376623376623376|0.37787907578176694|0.5099778270509978|0.14391992583987517|0.010071491969965738
EL6|1|Kentriki Elláda|EL|EL6||0.0|0.0|0.501108647450111|0.12877938622815738|0.002154875762394096|0.13766233766233768|0.08655667393138783|0.501108647450111|0.06642728904847398|0.010707954725888971
NO|0|Norge|NO|||0.0|0.0|0.41685144124168505|0.06374765932398728|0.0007546811590763462|0.20519480519480524|0.11915458072036084|0.41685144124168505|0.39676840215439857|0.10654836026540669
ES1|1|Noroeste|ES|ES1||0.0|0.0|0.6164079822616408|0.5651748623643038|0.004461637041080285|0.07012987012987013|0.08851754156978685|0.6164079822616408|0.12208258527827649|0.029642577132473657
DE1|1|Baden-Württemberg|DE|DE1||0.0|0.0|0.4789356984478934|1.0|0.014770866459406222|0.20779220779220783|0.12941043448698725|0.4789356984478934|0.2621184919210054|0.15219315287859303
PL9|1|Makroregion województwo mazowieckie|PL|PL9||0.0|0.0|0.6496674057649667|0.4571469303725373|0.007171844222417353|0.20779220779220783|0.10996566963933391|0.6496674057649667|0.1059245960502693|0.031249609765621474
PT1|1|Continente|PT|PT1||0.0|0.0|0.7161862527716185|0.12338076617329773|0.0052210646225407595|0.1662337662337662|0.08457835274976779|0.7161862527716185|0.10233393177737882|0.05503282504735486
EL4|1|Nisia Aigaiou, Kriti|EL|EL4||0.0|0.0|0.48115299334811534|0.12877938622815738|0.0032038351092863755|0.19740259740259744|0.10545658469066249|0.48115299334811534|0.07540394973070018|0.005061503560192413
DE6|1|Hamburg|DE|DE6||0.0|0.0|0.5432372505543237|1.0|0.12266654009540309|0.187012987012987|0.10246140490399032|0.5432372505543237|0.3752244165170557|0.03560297637845476
DE7|1|Hessen|DE|DE7||0.0|0.0|0.5099778270509978|1.0|0.014049410257018773|0.20779220779220783|0.111531176581291|0.5099778270509978|0.26032315978456017|0.08567942170758162
DE8|1|Mecklenburg-Vorpommern|DE|DE8||0.0|0.0|0.5144124168514412|1.0|0.0033224956688895743|0.20259740259740264|0.09332561330233179|0.5144124168514412|0.1526032315978456|0.013455092373430087
DE9|1|Niedersachsen|DE|DE9||0.0|0.0|0.5055432372505544|1.0|0.0079265253814937|0.22077922077922077|0.10935024252836578|0.5055432372505544|0.20825852782764814|0.08810340314822103
DEA|1|Nordrhein-Westfalen|DE|DEA||0.0|0.0|0.5365853658536583|1.0|0.025075349455348034|0.21298701298701303|0.10999071167960757|0.5365853658536583|0.21723518850987433|0.20783521264647925
DEB|1|Rheinland-Pfalz|DE|DEB||0.0|0.0|0.5077605321507759|1.0|0.009758644421767094|0.21038961038961043|0.1028939492359901|0.5077605321507759|0.19748653500897667|0.04284333927794414
DEC|1|Saarland|DE|DEC||0.0|0.0|0.5343680709534369|1.0|0.018302204713197427|0.1818181818181818|0.09163034306077475|0.5343680709534369|0.2028725314183124|0.010770780438891939
DED|1|Sachsen|DE|DED||0.0|0.0|0.5166297117516632|1.0|0.010594014761373614|0.21818181818181823|0.09186330992029042|0.5166297117516632|0.16876122082585276|0.03724972586838363
DEE|1|Sachsen-Anhalt|DE|DEE||0.0|0.0|0.5232815964523281|1.0|0.005130882597242328|0.21818181818181823|0.08322077062705267|0.5232815964523281|0.1526032315978456|0.018590046408106804
DEF|1|Schleswig-Holstein|DE|DEF||0.0|0.0|0.5432372505543237|1.0|0.008852077746398653|0.20779220779220783|0.09965062559569701|0.5432372505543237|0.18132854578096946|0.0282800025530757
DEG|1|Thüringen|DE|DEG||0.0|0.0|0.49667405764966754|1.0|0.006251038279896527|0.21558441558441563|0.08830506365231326|0.49667405764966754|0.15978456014362658|0.01868675898056517
IT|0|Italia|IT|||0.0|0.0|0.5698447893569842|0.7203867615938067|0.009568787526401975|0.13246753246753248|0.0|0.5698447893569842|0.1615798922800718|0.5304307318147391
LI|0|Liechtenstein|LI|||0.0|0.0|0.4900221729490022|0.0|0.011429385100980136|0.20779220779220783|0.0946217285989206|0.4900221729490022|0.14391992583987517|0.010071491969965738
LT|0|Lietuva|LT|||0.0|0.0|0.8004434589800444|0.033210150271445214|0.0020599473147115363|0.22337662337662337|0.08325340116437897|0.8004434589800444|0.07719928186714542|0.012877554857984723
LU|0|Luxembourg|LU|||0.0|0.0|0.42793791574279383|0.006935529149592192|0.011097135534091179|0.1584415584415584|0.10344335642260036|0.42793791574279383|0.5691202872531419|0.017514667304442944
LV|0|Latvija|LV|||0.0|0.0|0.8292682926829269|0.022674994774395798|0.0013812089137812374|0.21558441558441563|0.08348560917418939|0.8292682926829269|0.07001795332136446|0.007963715050149334
ME|0|Crna Gora|ME|||0.0|0.0|0.501108647450111|0.007035407633581899|0.002107411538552816|0.2545454545454545|0.09428707587889971|0.501108647450111|0.02872531418312388|0.0011415046223961303
