id,name,q,r,colour
UKC2,"Northumberland and Tyne and Wear",-11,0,"rgb(53,60,60)"
UKD1,"Cumbria",-12,0,"rgb(53,60,60)"
UKD3,"Greater Manchester",-13,0,"rgb(53,60,60)"
UKD4,"Lancashire",-14,0,"rgb(53,60,60)"
UKD6,"Cheshire",-10,1,"rgb(53,60,60)"
UKD7,"Merseyside",-11,1,"rgb(53,60,60)"
UKE1,"East Yorkshire and Northern Lincolnshire",-12,1,"rgb(53,60,60)"
UKE2,"North Yorkshire",-13,1,"rgb(53,60,60)"
UKE3,"South Yorkshire",-14,1,"rgb(53,60,60)"
UKE4,"West Yorkshire",-10,2,"rgb(53,60,60)"
UKF1,"Derbyshire and Nottinghamshire",-11,2,"rgb(53,60,60)"
UKF2,"Leicestershire, Rutland and Northamptonshire",-12,2,"rgb(53,60,60)"
UKF3,"Lincolnshire",-13,2,"rgb(53,60,60)"
UKG1,"Herefordshire, Worcestershire and Warwickshire",-14,2,"rgb(53,60,60)"
UKG2,"Shropshire and Staffordshire",-10,3,"rgb(53,60,60)"
UKG3,"West Midlands",-11,3,"rgb(53,60,60)"
UKH1,"East Anglia",-12,3,"rgb(53,60,60)"
UKH2,"Bedfordshire and Hertfordshire",-13,3,"rgb(53,60,60)"
UKH3,"Essex",-14,3,"rgb(53,60,60)"
UKI3,"Inner London — West",-10,4,"rgb(53,60,60)"
UKI4,"Inner London — East",-11,4,"rgb(53,60,60)"
UKI5,"Outer London — East and North East",-12,4,"rgb(53,60,60)"
UKI6,"Outer London — South",-13,4,"rgb(53,60,60)"
UKI7,"Outer London — West and North West",-14,4,"rgb(53,60,60)"
UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",-10,5,"rgb(53,60,60)"
UKJ2,"Surrey, East and West Sussex",-11,5,"rgb(53,60,60)"
UKJ3,"Hampshire and Isle of Wight",-12,5,"rgb(53,60,60)"
UKJ4,"Kent",-13,5,"rgb(53,60,60)"
UKK1,"Gloucestershire, Wiltshire and Bristol/Bath area",-14,5,"rgb(53,60,60)"
UKK2,"Dorset and Somerset",-10,6,"rgb(53,60,60)"
UKK3,"Cornwall and Isles of Scilly",-11,6,"rgb(53,60,60)"
UKK4,"Devon",-12,6,"rgb(53,60,60)"
UKL1,"West Wales and The Valleys",-13,6,"rgb(53,60,60)"
UKL2,"East Wales",-14,6,"rgb(53,60,60)"
UKM5,"North Eastern Scotland",-10,7,"rgb(53,60,60)"
UKM6,"Highlands and Islands",-11,7,"rgb(53,60,60)"
UKM7,"Eastern Scotland",-12,7,"rgb(53,60,60)"
UKM8,"West Central Scotland",-13,7,"rgb(53,60,60)"
UKM9,"Southern Scotland",-14,7,"rgb(53,60,60)"
UKN0,"Northern Ireland",-10,8,"rgb(53,60,60)"
IE04,"Northern and Western",-16,5,"rgb(106,90,90)"
IE05,"Southern",-16,6,"rgb(106,90,90)"
IE06,"Eastern and Midland",-16,7,"rgb(106,90,90)"
FR10,"Ile-de-France",-4,0,"rgb(159,120,120)"
FRB0,"Centre — Val de Loire",-5,0,"rgb(159,120,120)"
FRC1,"Bourgogne",-6,0,"rgb(159,120,120)"
FRC2,"Franche-Comté",-7,0,"rgb(159,120,120)"
FRD1,"Basse-Normandie",-8,0,"rgb(159,120,120)"
FRD2,"Haute-Normandie",-4,-1,"rgb(159,120,120)"
FRE1,"Nord-Pas de Calais",-5,-1,"rgb(159,120,120)"
FRE2,"Picardie",-6,-1,"rgb(159,120,120)"
FRF1,"Alsace",-7,-1,"rgb(159,120,120)"
FRF2,"Champagne-Ardenne",-8,-1,"rgb(159,120,120)"
FRF3,"Lorraine",-2,-2,"rgb(159,120,120)"
FRG0,"Pays de la Loire",-3,-2,"rgb(159,120,120)"
FRH0,"Bretagne",-4,-2,"rgb(159,120,120)"
FRI1,"Aquitaine",-5,-2,"rgb(159,120,120)"
FRI2,"Limousin",-6,-2,"rgb(159,120,120)"
FRI3,"Poitou-Charentes",-7,-2,"rgb(159,120,120)"
FRJ1,"Languedoc-Roussillon",-8,-2,"rgb(159,120,120)"
FRJ2,"Midi-Pyrénées",-4,-3,"rgb(159,120,120)"
FRK1,"Auvergne",-5,-3,"rgb(159,120,120)"
FRK2,"Rhône-Alpes",-6,-3,"rgb(159,120,120)"
FRL0,"Provence-Alpes-Côte d’Azur",-7,-3,"rgb(159,120,120)"
FRM0,"Corse",-8,-3,"rgb(159,120,120)"
FRY1,"Guadeloupe",-4,-4,"rgb(159,120,120)"
FRY2,"Martinique",-5,-4,"rgb(159,120,120)"
FRY3,"Guyane",-6,-4,"rgb(159,120,120)"
FRY4,"La Réunion",-7,-4,"rgb(159,120,120)"
FRY5,"Mayotte",-8,-4,"rgb(159,120,120)"
ES11,"Galicia",-5,-5,"rgb(212,150,150)"
ES12,"Principado de Asturias",-6,-5,"rgb(212,150,150)"
ES13,"Cantabria",-7,-5,"rgb(212,150,150)"
ES21,"País Vasco",-8,-5,"rgb(212,150,150)"
ES22,"Comunidad Foral de Navarra",-5,-6,"rgb(212,150,150)"
ES23,"La Rioja",-6,-6,"rgb(212,150,150)"
ES24,"Aragón",-7,-6,"rgb(212,150,150)"
ES30,"Comunidad de Madrid",-8,-6,"rgb(212,150,150)"
ES41,"Castilla y León",-9,-6,"rgb(212,150,150)"
ES42,"Castilla-La Mancha",-5,-7,"rgb(212,150,150)"
ES43,"Extremadura",-6,-7,"rgb(212,150,150)"
ES51,"Cataluña",-7,-7,"rgb(212,150,150)"
ES52,"Comunitat Valenciana",-8,-7,"rgb(212,150,150)"
ES53,"Illes Balears",-9,-7,"rgb(212,150,150)"
ES61,"Andalucía",-5,-8,"rgb(212,150,150)"
ES62,"Región de Murcia",-6,-8,"rgb(212,150,150)"
ES63,"Ciudad de Ceuta",-7,-8,"rgb(212,150,150)"
ES64,"Ciudad de Melilla",-8,-8,"rgb(212,150,150)"
ES70,"Canarias",-9,-8,"rgb(212,150,150)"
PT11,"Norte",-10,-5,"rgb(0,180,180)"
PT15,"Algarve",-10,-6,"rgb(0,180,180)"
PT16,"Centro (PT)",-11,-6,"rgb(0,180,180)"
PT17,"Área Metropolitana de Lisboa",-10,-7,"rgb(0,180,180)"
PT18,"Alentejo",-11,-7,"rgb(0,180,180)"
PT20,"Região Autónoma dos Açores",-10,-8,"rgb(0,180,180)"
PT30,"Região Autónoma da Madeira",-11,-8,"rgb(0,180,180)"
DK01,"Hovedstaden",0,7,"rgb(53,210,210)"
DK02,"Sjælland",1,7,"rgb(53,210,210)"
DK03,"Syddanmark",0,8,"rgb(53,210,210)"
DK04,"Midtjylland",1,8,"rgb(53,210,210)"
DK05,"Nordjylland",0,9,"rgb(53,210,210)"
PL21,"Małopolskie",4,2,"rgb(106,240,240)"
PL22,"Śląskie",5,2,"rgb(106,240,240)"
PL41,"Wielkopolskie",6,2,"rgb(106,240,240)"
PL42,"Zachodniopomorskie",7,2,"rgb(106,240,240)"
PL43,"Lubuskie",4,3,"rgb(106,240,240)"
PL51,"Dolnośląskie",5,3,"rgb(106,240,240)"
PL52,"Opolskie",6,3,"rgb(106,240,240)"
PL61,"Kujawsko-pomorskie",7,3,"rgb(106,240,240)"
PL62,"Warmińsko-mazurskie",4,4,"rgb(106,240,240)"
PL63,"Pomorskie",5,4,"rgb(106,240,240)"
PL71,"Łódzkie",6,4,"rgb(106,240,240)"
PL72,"Świętokrzyskie",7,4,"rgb(106,240,240)"
PL81,"Lubelskie",4,5,"rgb(106,240,240)"
PL82,"Podkarpackie",5,5,"rgb(106,240,240)"
PL84,"Podlaskie",6,5,"rgb(106,240,240)"
PL91,"Warszawski stołeczny",7,5,"rgb(106,240,240)"
PL92,"Mazowiecki regionalny",8,5,"rgb(106,240,240)"
